Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
2,0.000000,1945,1808
3,100.007360,1945,1808
4,200.004340,1945,1808
5,300.026500,1945,1809
6,400.010160,1945,1791
7,500.018520,1943,1808
8,600.014840,1951,1832
9,700.001640,1945,1808
10,799.996360,1945,1808
11,900.037700,1920,1808
12,999.997760,1945,1808
13,1100.000000,1945,1808
14,1199.994500,1945,1808
15,1300.006820,1945,1808
16,1400.055020,1947,1808
17,1500.005880,1945,1808
18,1600.072940,1945,1808
19,1700.004500,1945,1808
20,1799.995400,1945,1808
21,1900.008740,1945,1808
22,2000.010840,1945,1808
23,2100.013940,1945,1804
24,2199.993160,1945,1808
25,2300.001120,1945,1808
26,2399.995740,1945,1808
27,2499.999280,1945,1808
28,2599.998140,1945,1808
29,2700.002420,1945,1808
30,2800.013020,1943,1808
31,2900.004520,1919,1808
32,3000.013120,1945,1808
33,3100.006560,1945,1808
34,3200.061900,1945,1808
35,3299.999000,1945,1808
36,3400.001760,1945,1808
37,3500.033860,1945,1808
38,3600.064500,1945,1778
39,3700.018080,1939,1808
40,3800.009100,1945,1808
41,3900.001500,1945,1808
42,3999.996260,1939,1808
43,4100.014680,1945,1808
44,4199.990060,1945,1808
45,4299.997900,1945,1808
46,4400.020380,1945,1808
47,4500.004220,1945,1808
48,4600.002500,1945,1806
49,4699.990560,1947,1806
50,4800.003020,1945,1808
51,4900.106380,1945,1808
52,4999.995340,1945,1782
53,5100.005340,1943,1782
54,5199.995540,1945,1808
55,5300.001220,1945,1808
56,5399.994060,1945,1808
57,5500.004260,1945,1808
58,5600.034280,1945,1808
59,5700.032880,1945,1808
60,5800.002400,1945,1782
61,5900.000600,1919,1782
62,6000.024140,1945,1808
63,6100.007020,1945,1807
64,6200.020400,1919,1808
65,6299.997160,1945,1808
66,6400.030620,1945,1808
67,6499.996300,1945,1808
68,6600.017660,1945,1808
69,6699.993040,1945,1808
70,6800.048680,1945,1808
71,6900.025660,1945,1808
72,7000.001540,1945,1808
73,7099.993440,1945,1808
74,7200.062540,1945,1808
75,7299.994900,1945,1808
76,7400.025380,1970,1782
77,7499.993160,1945,1808
78,7600.003680,1945,1839
79,7700.005320,1945,1808
80,7800.003920,1945,1808
81,7900.023160,1939,1808
82,8000.029400,1945,1808
83,8100.028760,1970,1808
84,8200.007460,1920,1808
85,8300.041940,1939,1808
86,8400.002780,1945,1808
87,8500.021740,1945,1808
88,8600.036200,1945,1808
89,8699.998720,1945,1808
90,8800.018820,1945,1808
91,8900.000500,1945,1808
92,9000.001000,1945,1808
93,9099.993880,1945,1802
94,9200.001020,1945,1808
95,9300.035320,1945,1808
96,9399.998220,1945,1808
97,9499.995740,1920,1808
98,9600.007580,1945,1808
99,9700.008620,1943,1808
100,9800.020880,1945,1808
101,9899.996780,1945,1808
102,10000.014020,1945,1802
103,10100.016180,1945,1808
104,10200.030280,1945,1808
105,10300.019600,1945,1808
106,10400.010760,1945,1808
107,10500.037040,1945,1808
108,10600.007660,1945,1804
109,10700.013280,1945,1808
110,10799.998820,1945,1808
111,10900.057680,1945,1808
112,11000.001000,1945,1808
113,11099.997280,1945,1808
114,11200.009340,1945,1808
115,11299.992060,1943,1808
116,11400.029280,1945,1808
117,11499.998100,1945,1802
118,11600.015060,1945,1808
119,11699.997840,1945,1806
120,11799.990120,1919,1808
121,11900.022880,1945,1808
122,12000.005780,1945,1825
123,12100.018740,1945,1809
124,12200.003960,1945,1808
125,12299.993900,1943,1808
126,12400.025620,1951,1806
127,12500.013500,1945,1808
128,12600.021980,1945,1808
129,12699.999860,1945,1808
130,12800.008740,1920,1808
131,12900.005560,1939,1808
132,12999.993280,1945,1808
133,13100.042540,1945,1807
134,13200.002920,1939,1806
135,13300.016560,1948,1808
136,13399.994920,1945,1808
137,13500.010500,1945,1808
138,13599.994360,1945,1782
139,13700.045460,1945,1808
140,13800.008980,1919,1808
141,13899.998220,1945,1808
142,14000.003340,1946,1808
143,14099.995220,1920,1808
144,14200.012400,1939,1808
145,14300.061020,1951,1808
146,14400.016080,1977,1782
147,14500.043960,1945,1808
148,14599.996900,1971,1808
149,14699.998100,1945,1807
150,14800.011820,1939,1808
151,14899.996900,1970,1810
152,15000.004780,1945,1808
153,15099.993720,1945,1783
154,15200.019720,1945,1808
155,15300.010680,1971,1808
156,15400.021780,1920,1808
157,15500.005780,1945,1808
158,15600.007800,1945,1808
159,15699.993420,1946,1808
160,15800.011420,1945,1808
161,15899.995960,1945,1791
162,16000.005020,1945,1808
163,16100.012500,1945,1839
164,16199.995400,1970,1808
165,16299.997640,1945,1808
166,16399.989920,1945,1808
167,16500.007600,1939,1808
168,16600.001380,1945,1808
169,16700.012140,1945,1808
170,16800.001840,1945,1808
171,16900.000800,1971,1808
172,17000.005460,1945,1804
173,17099.988240,1945,1808
174,17200.045760,1945,1808
175,17300.014880,1945,1808
176,17400.005960,1945,1791
177,17499.996080,1943,1808
178,17600.016960,1945,1802
179,17700.001680,1945,1802
180,17800.011380,1939,1808
181,17900.003960,1945,1808
182,18000.021980,1945,1808
183,18100.023640,1943,1808
184,18199.999120,1945,1808
185,18300.016400,1945,1808
186,18399.998440,1939,1808
187,18500.013340,1945,1808
188,18600.000800,1943,1808
189,18700.006560,1945,1808
190,18800.024940,1939,1808
191,18900.045320,1943,1810
192,19000.032760,1945,1808
193,19100.003500,1945,1808
194,19200.037420,1949,1808
195,19300.001200,1945,1808
196,19400.027740,1939,1806
197,19500.028220,1943,1808
198,19599.997760,1945,1808
199,19700.033400,1945,1808
200,19800.027120,1943,1834
201,19899.995600,1943,1808
202,20000.005500,1945,1804
203,20100.073100,1944,1808
204,20200.014840,1945,1806
205,20300.025920,1919,1808
206,20400.028440,1913,1809
207,20500.008020,1943,1808
208,20600.041340,1945,1808
209,20699.996480,1945,1808
210,20799.993400,1943,1808
211,20900.069240,1968,1808
212,21000.074520,1939,1808
213,21100.039540,1945,1808
214,21200.017580,1970,1808
215,21300.049460,1945,1808
216,21400.002860,1939,1825
217,21499.990300,1969,1804
218,21600.016020,1945,1808
219,21699.998520,1947,1806
220,21799.991880,1943,1808
221,21899.991740,1945,1810
222,22000.002680,1945,1808
223,22099.986500,1943,1782
224,22199.999300,1945,1808
